{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.5224609375, 'raw_data_ac_x': -0.8427734375}
{'raw_data_ac_y': 0.1669921875, 'raw_data_ac_z': 0.5283203125, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.5302734375, 'raw_data_ac_x': -0.83935546875}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.53076171875, 'raw_data_ac_x': -0.83984375}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.52587890625, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.52490234375, 'raw_data_ac_x': -0.8427734375}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.52392578125, 'raw_data_ac_x': -0.8447265625}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.5234375, 'raw_data_ac_x': -0.841796875}
{'raw_data_ac_y': 0.16650390625, 'raw_data_ac_z': 0.5302734375, 'raw_data_ac_x': -0.8388671875}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.52880859375, 'raw_data_ac_x': -0.84130859375}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.5244140625, 'raw_data_ac_x': -0.84228515625}
{'raw_data_ac_y': 0.1630859375, 'raw_data_ac_z': 0.521484375, 'raw_data_ac_x': -0.84130859375}
{'raw_data_ac_y': 0.16259765625, 'raw_data_ac_z': 0.52490234375, 'raw_data_ac_x': -0.84033203125}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.52734375, 'raw_data_ac_x': -0.83984375}
{'raw_data_ac_y': 0.162109375, 'raw_data_ac_z': 0.52880859375, 'raw_data_ac_x': -0.837890625}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.52783203125, 'raw_data_ac_x': -0.84033203125}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.5205078125, 'raw_data_ac_x': -0.84033203125}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.5166015625, 'raw_data_ac_x': -0.8427734375}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.5244140625, 'raw_data_ac_x': -0.84228515625}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.52685546875, 'raw_data_ac_x': -0.841796875}
{'raw_data_ac_y': 0.16796875, 'raw_data_ac_z': 0.5263671875, 'raw_data_ac_x': -0.841796875}
{'raw_data_ac_y': 0.16650390625, 'raw_data_ac_z': 0.525390625, 'raw_data_ac_x': -0.84326171875}
{'raw_data_ac_y': 0.16748046875, 'raw_data_ac_z': 0.5234375, 'raw_data_ac_x': -0.84326171875}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.5234375, 'raw_data_ac_x': -0.84326171875}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.52734375, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.16650390625, 'raw_data_ac_z': 0.52783203125, 'raw_data_ac_x': -0.83935546875}
{'raw_data_ac_y': 0.16748046875, 'raw_data_ac_z': 0.5283203125, 'raw_data_ac_x': -0.837890625}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.525390625, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.52294921875, 'raw_data_ac_x': -0.84228515625}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.521484375, 'raw_data_ac_x': -0.841796875}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.5283203125, 'raw_data_ac_x': -0.84130859375}
{'raw_data_ac_y': 0.166015625, 'raw_data_ac_z': 0.52783203125, 'raw_data_ac_x': -0.83935546875}
{'raw_data_ac_y': 0.16650390625, 'raw_data_ac_z': 0.52880859375, 'raw_data_ac_x': -0.83837890625}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.52197265625, 'raw_data_ac_x': -0.84033203125}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.52197265625, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.5263671875, 'raw_data_ac_x': -0.8427734375}
{'raw_data_ac_y': 0.16748046875, 'raw_data_ac_z': 0.52587890625, 'raw_data_ac_x': -0.84228515625}
{'raw_data_ac_y': 0.1650390625, 'raw_data_ac_z': 0.529296875, 'raw_data_ac_x': -0.837890625}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.52685546875, 'raw_data_ac_x': -0.83984375}
{'raw_data_ac_y': 0.16455078125, 'raw_data_ac_z': 0.5205078125, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.16650390625, 'raw_data_ac_z': 0.52001953125, 'raw_data_ac_x': -0.84326171875}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.5244140625, 'raw_data_ac_x': -0.84130859375}
{'raw_data_ac_y': 0.1640625, 'raw_data_ac_z': 0.52685546875, 'raw_data_ac_x': -0.84130859375}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.52783203125, 'raw_data_ac_x': -0.83984375}
{'raw_data_ac_y': 0.16552734375, 'raw_data_ac_z': 0.5234375, 'raw_data_ac_x': -0.8408203125}
{'raw_data_ac_y': 0.16357421875, 'raw_data_ac_z': 0.52294921875, 'raw_data_ac_x': -0.8427734375}
