{'raw_data_ac_y': -0.01416015625, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.00927734375}
{'raw_data_ac_y': -0.013671875, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.00830078125}
{'raw_data_ac_y': -0.01416015625, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00634765625}
{'raw_data_ac_y': -0.01171875, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01123046875, 'raw_data_ac_x': -0.03271484375, 'raw_data_ac_z': -0.00732421875}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.00830078125}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.00732421875}
{'raw_data_ac_y': -0.01513671875, 'raw_data_ac_x': -0.03564453125, 'raw_data_ac_z': -0.00634765625}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.00927734375}
{'raw_data_ac_y': -0.01171875, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.033203125, 'raw_data_ac_z': -0.0068359375}
{'raw_data_ac_y': -0.01123046875, 'raw_data_ac_x': -0.0361328125, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03662109375, 'raw_data_ac_z': -0.0048828125}
{'raw_data_ac_y': -0.013671875, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.00537109375}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00634765625}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00634765625}
{'raw_data_ac_y': -0.0146484375, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.00732421875}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.0048828125}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00732421875}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.0068359375}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00927734375}
{'raw_data_ac_y': -0.013671875, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01171875, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01171875, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00830078125}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00390625}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.00341796875}
{'raw_data_ac_y': -0.01123046875, 'raw_data_ac_x': -0.0341796875, 'raw_data_ac_z': -0.00537109375}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.03271484375, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.0146484375, 'raw_data_ac_x': -0.033203125, 'raw_data_ac_z': -0.01025390625}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.00830078125}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.0361328125, 'raw_data_ac_z': -0.005859375}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03564453125, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.009765625}
{'raw_data_ac_y': -0.013671875, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.009765625}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.03515625, 'raw_data_ac_z': -0.00927734375}
{'raw_data_ac_y': -0.01416015625, 'raw_data_ac_x': -0.03369140625, 'raw_data_ac_z': -0.005859375}
{'raw_data_ac_y': -0.01318359375, 'raw_data_ac_x': -0.03466796875, 'raw_data_ac_z': -0.0078125}
{'raw_data_ac_y': -0.01220703125, 'raw_data_ac_x': -0.0361328125, 'raw_data_ac_z': -0.005859375}
{'raw_data_ac_y': -0.0126953125, 'raw_data_ac_x': -0.03564453125, 'raw_data_ac_z': -0.01025390625}
